User Name,Email,Age,Product Name,Price
Shan Rempel,hugh_torp@pfannerstill.example,92,Durable Plastic Gloves,17.41
Latrice Rowe,rickie_volkman@langworth.test,86,Incredible Iron Bottle,15.49
Moira Schaefer,rod@hessel.example,24,Gorgeous Paper Table,74.21
Napoleon Hickle,brooks.weimann@schroeder.example,33,Mediocre Aluminum Hat,11.13
Florentina Kub,lin_ledner@schiller.test,56,Practical Bronze Gloves,29.51
Grant Stark,kenisha_hauck@koss.example,28,Synergistic Paper Plate,57.57
Miss Beata Sanford,elliott_willms@brakus-carter.test,53,Sleek Copper Hat,45.58
Miss Odell O'Connell,lili_feest@carroll.test,94,Ergonomic Marble Bench,9.85
Ha Fritsch,leonardo_hyatt@gottlieb.test,99,Synergistic Marble Computer,56.17
Morris Kassulke,slyvia_luettgen@ledner-rau.example,83,Synergistic Linen Shirt,95.38
Dale Bradtke,cordie_wehner@rath.test,56,Gorgeous Granite Clock,93.94
Rev. Maryetta Carter,shannon@labadie-zboncak.test,52,Mediocre Cotton Computer,69.89
Tad Smitham,christiana_gibson@spinka.test,29,Ergonomic Marble Clock,93.94
Margareta Hintz,gus@schinner-runte.example,21,Sleek Granite Lamp,85.46
Isidra Sauer,derek.oberbrunner@brekke-price.example,74,Synergistic Leather Watch,39.1
Waldo Toy,hilario.becker@bayer-nolan.test,73,Ergonomic Wool Watch,99.62
Evita Schinner,chas_kris@hagenes-heaney.test,89,Lightweight Marble Table,41.1
Rep. Paris Collier,earle@weissnat.example,87,Heavy Duty Iron Clock,42.85
Samira Brown,donovan@nikolaus-larson.test,26,Synergistic Aluminum Pants,8.75
Portia Gerhold DO,jeannine_olson@oconner.test,54,Awesome Leather Shoes,83.55
Damien Sawayn Esq.,ian@damore-macejkovic.test,38,Gorgeous Aluminum Coat,28.64
Amb. Hertha Lindgren,victor.funk@jaskolski.example,20,Sleek Iron Shoes,27.45
Amb. Bell Greenholt,travis_block@okon-graham.example,36,Awesome Concrete Shirt,38.88
Ellis Lakin,monroe@bernier.test,46,Aerodynamic Aluminum Pants,26.72
Fred Harris,verena@bergnaum.test,26,Synergistic Plastic Lamp,3.6
Trudy Jast,cyrus_marvin@hegmann.test,91,Aerodynamic Aluminum Car,75.52
Ms. Alan Leannon,gonzalo@hoppe-rempel.test,46,Small Copper Coat,4.35
Rev. Jesse Lang,bryon@kunze.example,92,Gorgeous Silk Bench,30.72
Cherryl Reilly,winston@koch.example,73,Synergistic Rubber Wallet,1.99
Mikki Bernier,terry.hickle@hansen.test,52,Practical Leather Chair,37.18
Karri Tromp,marylou_renner@heathcote.test,42,Small Copper Plate,59.85
Ken Zboncak,jerrold@spinka-prohaska.example,92,Gorgeous Wool Knife,51.3
Miss Brittni Maggio,jc.bogan@corkery.test,22,Awesome Granite Bag,63.86
Reinaldo Schamberger,sang@wisoky.example,63,Lightweight Silk Table,32.05
Gerald King,rayford@koch.test,19,Awesome Leather Bench,97.69
Pres. Ciera Boehm,chaya.kautzer@daniel.test,91,Practical Concrete Car,6.76
Merlin Jenkins IV,una_dickinson@pagac.example,93,Rustic Leather Bottle,51.32
Prof. Wayne Cummings,morton.smitham@damore.test,37,Incredible Paper Shoes,92.0
Prof. Savannah Hoppe,ladonna_goldner@mcclure.test,34,Practical Copper Pants,74.03
